OBJECTID,ISO_2_CODE,ISO_3_CODE,ADM0_NAME,date_epicrv,NewCase,CumCase,NewDeath,CumDeath,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
2862,CO,COL,Colombia,2020-03-06T00:00:00.000Z,1,1,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2863,CO,COL,Colombia,2020-03-07T00:00:00.000Z,0,1,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2864,CO,COL,Colombia,2020-03-08T00:00:00.000Z,0,1,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2865,CO,COL,Colombia,2020-03-09T00:00:00.000Z,0,1,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2866,CO,COL,Colombia,2020-03-10T00:00:00.000Z,2,3,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2867,CO,COL,Colombia,2020-03-11T00:00:00.000Z,0,3,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2868,CO,COL,Colombia,2020-03-12T00:00:00.000Z,6,9,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2869,CO,COL,Colombia,2020-03-13T00:00:00.000Z,7,16,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2870,CO,COL,Colombia,2020-03-14T00:00:00.000Z,8,24,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2871,CO,COL,Colombia,2020-03-15T00:00:00.000Z,0,24,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2872,CO,COL,Colombia,2020-03-16T00:00:00.000Z,10,34,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2873,CO,COL,Colombia,2020-03-17T00:00:00.000Z,11,45,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2874,CO,COL,Colombia,2020-03-18T00:00:00.000Z,48,93,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2875,CO,COL,Colombia,2020-03-19T00:00:00.000Z,15,108,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2876,CO,COL,Colombia,2020-03-20T00:00:00.000Z,37,145,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2877,CO,COL,Colombia,2020-03-21T00:00:00.000Z,51,196,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2878,CO,COL,Colombia,2020-03-22T00:00:00.000Z,0,196,0,0,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2879,CO,COL,Colombia,2020-03-23T00:00:00.000Z,0,196,2,2,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2880,CO,COL,Colombia,2020-03-24T00:00:00.000Z,110,306,1,3,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2881,CO,COL,Colombia,2020-03-25T00:00:00.000Z,0,306,0,3,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2882,CO,COL,Colombia,2020-03-26T00:00:00.000Z,164,470,1,4,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2883,CO,COL,Colombia,2020-03-27T00:00:00.000Z,0,470,0,4,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2884,CO,COL,Colombia,2020-03-28T00:00:00.000Z,21,491,2,6,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2885,CO,COL,Colombia,2020-03-29T00:00:00.000Z,48,539,0,6,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2886,CO,COL,Colombia,2020-03-30T00:00:00.000Z,69,608,0,6,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
2887,CO,COL,Colombia,2020-03-31T00:00:00.000Z,94,702,4,10,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
