Country,Sex-disaggregated?,Date,Total cases,Cases (% male),Cases (% female),Total deaths,deaths (% male),deaths (% female),Proportion of deaths in confirmed cases (total),Proportion of deaths in confirmed cases (male),Proportion of deaths in confirmed cases (female),Proportion of deaths in confirmed cases (Male:female ratio),Sources
Australia ,Yes,21-Apr,6619,50%,50%,71,62%,38%,1.1%,1.3%,0.8%,1.60,http://www9.health.gov.au/cda/source/rpt_5.cfm
Austria,Yes,21-Apr,14828,49%,51%,456,57%,43%,3.1%,3.6%,2.6%,1.38,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Belgium,Yes,20-Apr,40795,38%,62%,4283,52%,48%,10.5%,14.3%,8.1%,1.76,https://epistat.wiv-isp.be/Covid/covid-19.html
Brazil ,Partial,20-Apr,40581,,,2082,60%,40%,,,,,https://portalarquivos.saude.gov.br/images/pdf/2020/April/21/BE13---Boletim-do-COE.pdf
Canada,Yes,20-Apr,20515,45%,55%,687,51%,49%,3.3%,3.8%,3.0%,1.28,https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases/2019-novel-coronavirus-infection/surv-covid19-epi-update-eng.pdf
Chile,Partial,19-Apr,10451,57%,40%,139,,,,,,,http://epi.minsal.cl/wp-content/uploads/2020/04/Informe_37_COVID_19_Chile.pdf
China,Yes,28-Feb,55924,51%,49%,2114,64%,36%,3.8%,4.7%,2.8%,1.68,https://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf
Czech Republic,Partial,21-Apr,6914,46%,51%,196,,,2.8%,,,,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,Yes,21-Apr,7695,43%,57%,370,59%,41%,4.8%,6.5%,3.5%,1.87,https://files.ssi.dk/COVID19-overvaagningsrapport-21032020-hj78
Ecuador,Yes,20-Apr,10128,59%,41%,507,71%,29%,5.0%,6.1%,3.5%,1.74,https://www.salud.gob.ec/wp-content/uploads/2020/04/Boletin-053-AM_Nacional.pdf
Finland,Yes,21-Apr,4014,48%,52%,101,58%,42%,2.5%,3.1%,2.0%,1.52,https://experience.arcgis.com/experience/d40b2aaf08be4b9c8ec38de30b714f26
France**,Partial,21-Apr,179051,,,12798,60%,40%,7.1%,,,,https://dc-covid.site.ined.fr/en/data/
Germany,Yes,20-Apr,141672,48%,52%,4401,58%,42%,3.1%,3.8%,2.5%,1.51,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Gesamt.html
Greece,Yes,20-Apr,2174,56%,44%,116,74%,26%,5.3%,7.1%,3.1%,2.25,https://eody.gov.gr/wp-content/uploads/2020/04/covid-gr-daily-report-20200420.pdf
Indonesia,No,21-Apr,6760,,,590,,,8.7%,,,,https://www.covid19.go.id/2020/04/03/infografis-covid-19-3-april-2020/
Iran,Yes,17-Mar,14991,57%,43%,853,59%,41%,5.7%,5.9%,5.4%,1.09,https://twitter.com/drjahanpur/status/1239837848175439874
Israel,Partial,11-Apr,10743,,,96,53%,47%,,,,,https://t.me/MOHreport
Italy,Yes,16-Apr,158727,50%,50%,19996,65%,35%,12.6%,16.4%,8.7%,1.88,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_16-aprile-2020.pdf
Japan,Partial,18-Apr,10432,59%,41%,222,,,,,,,"https://mhlw-gis.maps.arcgis.com/apps/opsdashboard/index.html#/0c5d0502bbb54f9a8dddebca003631b8
"
Luxembourg,Partial,21-Apr,3618,51%,49%,78,,,2.2%,,,,https://msan.gouvernement.lu/en/dossiers/2020/corona-virus.html
Malaysia,Partial,20-Apr,5425,,,87,79%,21%,1.6%,,,,https://www.outbreak.my/stats
Norway,Yes,20-Apr,7166,49%,51%,163,57%,43%,2.3%,2.6%,1.9%,1.36,https://www.fhi.no/en/id/infectious-diseases/coronavirus/daily-reports/daily-reports-COVID19/
Pakistan,Yes,22-Apr,9749,77%,23%,209,75%,25%,2.1%,2.1%,2.3%,0.91,http://covid.gov.pk/stats/pakistan
Philippines,Yes,21-Apr,6597,53%,47%,437,68%,32%,6.6%,8.4%,4.6%,1.85,https://ncovtracker.doh.gov.ph/
Poland,Partial,21-Apr,9856,,,401,53%,46%,,,,,https://docs.google.com/spreadsheets/d/1ierEhD6gcq51HAm433knjnVwey4ZE5DCnu1bW7PRG3E/htmlview?fbclid=IwAR3diFvPqpkq0Kam18jvA9Y2uxq8ihE0DGeynwPJSlwtOeTCcWgGHgK47AM#
Portugal,Yes,20-Apr,21379,41%,59%,762,50%,50%,3.6%,4.3%,3.0%,1.44,https://covid19.min-saude.pt/wp-content/uploads/2020/04/50_DGS_boletim_20200421.pdf
