ISO_3_CODE,date_epicrv,NewCase,CumCase,NewDeath,CumDeath,Short_Name_ES
AFG,2020-02-24T00:00:00.000Z,1,1,0,0,Afganistán
AFG,2020-02-25T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-02-26T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-02-27T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-02-28T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-02-29T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-01T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-02T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-03T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-04T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-05T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-06T00:00:00.000Z,0,1,0,0,Afganistán
AFG,2020-03-07T00:00:00.000Z,3,4,0,0,Afganistán
AFG,2020-03-08T00:00:00.000Z,0,4,0,0,Afganistán
AFG,2020-03-09T00:00:00.000Z,0,4,0,0,Afganistán
AFG,2020-03-10T00:00:00.000Z,0,4,0,0,Afganistán
AFG,2020-03-11T00:00:00.000Z,3,7,0,0,Afganistán
AFG,2020-03-12T00:00:00.000Z,0,7,0,0,Afganistán
AFG,2020-03-13T00:00:00.000Z,0,7,0,0,Afganistán
AFG,2020-03-14T00:00:00.000Z,3,10,0,0,Afganistán
AFG,2020-03-15T00:00:00.000Z,6,16,0,0,Afganistán
AFG,2020-03-16T00:00:00.000Z,5,21,0,0,Afganistán
AFG,2020-03-17T00:00:00.000Z,1,22,0,0,Afganistán
AFG,2020-03-18T00:00:00.000Z,0,22,0,0,Afganistán
AFG,2020-03-19T00:00:00.000Z,0,22,0,0,Afganistán
AFG,2020-03-20T00:00:00.000Z,2,24,0,0,Afganistán
AFG,2020-03-21T00:00:00.000Z,0,24,0,0,Afganistán
AFG,2020-03-22T00:00:00.000Z,10,34,0,0,Afganistán
AFG,2020-03-23T00:00:00.000Z,6,40,1,1,Afganistán
AFG,2020-03-24T00:00:00.000Z,2,42,0,1,Afganistán
AFG,2020-03-25T00:00:00.000Z,32,74,0,1,Afganistán
AFG,2020-03-26T00:00:00.000Z,6,80,1,2,Afganistán
AFG,2020-03-27T00:00:00.000Z,11,91,0,2,Afganistán
AFG,2020-03-28T00:00:00.000Z,15,106,1,3,Afganistán
AFG,2020-03-29T00:00:00.000Z,8,114,1,4,Afganistán
AFG,2020-03-30T00:00:00.000Z,0,114,0,4,Afganistán
AFG,2020-03-31T00:00:00.000Z,52,166,0,4,Afganistán
AFG,2020-04-01T00:00:00.000Z,26,192,0,4,Afganistán
AFG,2020-04-02T00:00:00.000Z,43,235,0,4,Afganistán
AFG,2020-04-03T00:00:00.000Z,34,269,1,5,Afganistán
AFG,2020-04-04T00:00:00.000Z,1,270,0,5,Afganistán
AFG,2020-04-05T00:00:00.000Z,29,299,2,7,Afganistán
AFG,2020-04-06T00:00:00.000Z,38,337,0,7,Afganistán
